Date,RV_1min,RV_5min,RV_10min,OT
2008/9/19,0.000635809,9.14E-05,4.39E-05,1.35E-05
2008/9/22,0.000244145,4.68E-05,2.24E-05,3.57E-06
2008/9/23,0.000430749,0.000115487,7.74E-05,2.74E-05
2008/9/24,0.000337756,7.42E-05,1.73E-05,3.24E-06
2008/9/25,0.000243017,4.87E-05,2.71E-05,8.75E-06
2008/9/26,0.000303964,6.39E-05,2.46E-05,6.67E-06
2008/9/29,0.001556823,0.000647657,0.000478924,0.000406058
2008/9/30,0.000428247,6.06E-05,2.95E-05,7.84E-06
2008/10/1,0.000543392,8.25E-05,4.90E-05,1.96E-05
2008/10/2,0.000400564,7.70E-05,4.10E-05,2.24E-05
2008/10/3,0.001276188,0.00013516,5.80E-05,2.64E-05
2008/10/6,0.001584452,0.000234245,0.000110345,3.33E-05
2008/10/7,0.001748313,0.000375812,0.000215701,8.38E-05
2008/10/8,0.003302012,0.000778281,0.000368203,0.000166714
2008/10/9,0.001606753,0.000289658,0.000134294,6.02E-05
2008/10/10,0.005865294,0.001224945,0.000679271,0.000134546
2008/10/13,0.000709592,0.000154318,8.28E-05,3.89E-05
2008/10/14,0.002166457,0.000439584,0.000175605,7.05E-05
2008/10/15,0.001405061,0.000351372,0.000201015,0.000102698
2008/10/16,0.003917502,0.000895277,0.00053272,0.000296172
2008/10/17,0.001734403,0.000467942,0.00026304,9.05E-05
2008/10/20,0.000994986,0.000225423,0.000120174,5.55E-05
2008/10/21,0.000861378,0.000196385,0.000122441,3.79E-05
2008/10/22,0.001084044,0.000199892,0.000126121,2.17E-05
2008/10/23,0.002307511,0.000425761,0.000257799,7.20E-05
2008/10/24,0.00246396,0.000492529,0.000311525,0.000146225
2008/10/27,0.001215985,0.000242042,6.90E-05,3.49E-05
2008/10/28,0.001217448,0.000288773,0.000159089,7.06E-05
2008/10/29,0.001750551,0.000322112,0.000186263,5.30E-05
2008/10/30,0.000950288,0.000161406,8.13E-05,2.80E-05
2008/10/31,0.000954651,0.000158669,7.72E-05,2.63E-05
2008/11/3,0.000305078,5.78E-05,2.61E-05,3.53E-06
2008/11/4,0.000440426,7.89E-05,3.90E-05,8.58E-06
2008/11/5,0.000533918,0.000124622,5.93E-05,1.46E-05
2008/11/6,0.00091282,0.000220769,9.97E-05,4.89E-05
2008/11/7,0.000685847,0.000154555,7.95E-05,3.52E-05
2008/11/10,0.000621617,0.000163841,9.73E-05,2.20E-05
2008/11/11,0.000690712,0.000172376,9.24E-05,1.19E-05
2008/11/12,0.00057916,8.67E-05,4.99E-05,1.45E-05
2008/11/13,0.001820143,0.000363148,0.000154204,3.86E-05
2008/11/14,0.001413419,0.000313916,0.000140235,4.60E-05
2008/11/17,0.000990748,0.000168718,9.18E-05,2.49E-05
2008/11/18,0.00106124,0.000209794,0.00010285,4.44E-05
2008/11/19,0.000952497,0.000217191,9.74E-05,2.17E-05
2008/11/20,0.002087251,0.000400742,0.000174121,4.49E-05
2008/11/21,0.001919218,0.000366092,0.000172679,7.64E-05
2008/11/24,0.00094521,0.000167832,9.57E-05,3.55E-05
2008/11/25,0.000897056,0.000206657,9.12E-05,9.11E-06
2008/11/26,0.000628333,0.000136993,4.85E-05,1.03E-05
2008/11/28,0.000119521,3.07E-05,1.77E-05,8.27E-06
2008/12/1,0.000521285,8.89E-05,4.03E-05,1.77E-05
2008/12/2,0.000838709,0.000366389,7.90E-05,1.37E-05
2008/12/3,0.001121176,0.00030617,0.000181754,9.23E-05
2008/12/4,0.000956059,0.000206779,6.87E-05,2.15E-05
2008/12/5,0.001155989,0.000349793,0.000179863,3.41E-05
2008/12/8,0.000572934,0.00017592,8.58E-05,2.18E-05
2008/12/9,0.000779428,0.000171184,9.42E-05,5.38E-05
2008/12/10,0.000544421,0.00011322,6.36E-05,8.61E-06
2008/12/11,0.000525409,0.000116309,3.19E-05,1.19E-05
2008/12/12,0.000980031,0.000217631,0.000157034,3.48E-05
2008/12/15,0.000447388,0.000103222,4.66E-05,1.54E-05
2008/12/16,0.000509622,0.000110433,5.75E-05,1.29E-05
2008/12/17,0.000469792,9.07E-05,6.15E-05,2.04E-05
2008/12/18,0.000352277,6.42E-05,2.20E-05,1.25E-05
2008/12/19,0.000333667,6.27E-05,3.60E-05,1.17E-05
2008/12/22,0.000290811,7.89E-05,4.57E-05,8.02E-06
2008/12/23,0.000235054,4.48E-05,2.04E-05,5.92E-06
2008/12/24,3.45E-05,8.36E-06,4.37E-06,5.98E-07
2008/12/26,3.18E-05,6.30E-06,3.70E-06,1.90E-06
2008/12/29,0.000123592,3.15E-05,2.15E-05,8.20E-06
2008/12/30,0.000150424,4.52E-05,2.97E-05,6.36E-06
2008/12/31,0.000145084,4.13E-05,1.77E-05,8.42E-06
2009/1/2,0.000173782,4.83E-05,2.71E-05,9.86E-06
2009/1/5,0.000226264,6.91E-05,3.13E-05,1.39E-05
2009/1/6,0.000222052,4.92E-05,2.98E-05,1.09E-05
2009/1/7,0.000222669,4.41E-05,2.18E-05,4.14E-06
2009/1/8,0.000237414,5.32E-05,3.64E-05,5.42E-06
2009/1/9,0.000300776,7.09E-05,3.40E-05,1.11E-05
2009/1/12,0.000194009,3.77E-05,2.33E-05,6.64E-06
2009/1/13,0.000425424,9.17E-05,4.75E-05,1.38E-05
2009/1/14,0.000361991,7.66E-05,3.53E-05,5.62E-06
2009/1/15,0.000577889,0.000150081,6.38E-05,3.07E-05
2009/1/16,0.000496753,0.000104236,5.68E-05,1.83E-05
2009/1/20,0.000579947,0.000131881,6.26E-05,3.09E-05
2009/1/21,0.000362187,6.48E-05,2.96E-05,1.05E-05
2009/1/22,0.000613318,0.000115536,6.62E-05,3.68E-05
2009/1/23,0.000639686,0.000181977,0.000121198,4.00E-05
2009/1/26,0.000449825,0.000117476,8.55E-05,6.31E-05
2009/1/27,0.000321319,9.77E-05,3.84E-05,1.25E-05
2009/1/28,0.000278027,6.67E-05,3.15E-05,1.59E-05
2009/1/29,0.000280793,8.61E-05,5.65E-05,2.25E-05
2009/1/30,0.000300414,7.85E-05,5.10E-05,1.91E-05
2009/2/2,0.000325293,9.09E-05,5.53E-05,3.02E-05
2009/2/3,0.000300076,6.25E-05,2.93E-05,1.05E-05
2009/2/4,0.000279588,5.71E-05,2.67E-05,8.95E-06
2009/2/5,0.00037585,7.60E-05,5.02E-05,1.46E-05
2009/2/6,0.000270891,6.12E-05,3.22E-05,1.00E-05
2009/2/9,0.000198056,4.03E-05,1.88E-05,5.49E-06
2009/2/10,0.000564409,0.000165604,0.00010337,5.25E-05
2009/2/11,0.000408346,9.10E-05,4.63E-05,1.69E-05
2009/2/12,0.000543369,0.000122466,4.97E-05,1.63E-05
2009/2/13,0.000304269,6.52E-05,2.93E-05,1.44E-05
2009/2/17,0.00047238,9.52E-05,6.40E-05,2.75E-05
2009/2/18,0.000472611,0.000100116,5.26E-05,7.20E-06
2009/2/19,0.000255513,5.24E-05,1.93E-05,5.04E-06
2009/2/20,0.000497727,0.000134718,5.72E-05,2.40E-05
2009/2/23,0.000386616,8.07E-05,4.81E-05,2.40E-05
2009/2/24,0.000470423,0.000126609,5.42E-05,2.26E-05
2009/2/25,0.000557757,0.000118827,4.88E-05,1.67E-05
2009/2/26,0.000453744,0.00010438,6.29E-05,1.69E-05
2009/2/27,0.000718001,0.000155783,7.25E-05,2.87E-05
2009/3/2,0.000478614,9.58E-05,5.20E-05,2.06E-05
2009/3/3,0.000605202,0.000131496,6.29E-05,1.80E-05
2009/3/4,0.000396096,5.39E-05,2.94E-05,1.13E-05
2009/3/5,0.000452819,0.0001096,4.55E-05,9.42E-06
2009/3/6,0.000628486,0.000117836,5.78E-05,2.22E-05
2009/3/9,0.000531675,0.000101335,5.80E-05,2.46E-05
2009/3/10,0.000362446,7.27E-05,2.83E-05,1.41E-05
2009/3/11,0.000415372,8.88E-05,4.51E-05,1.70E-05
2009/3/12,0.000288164,6.68E-05,2.10E-05,6.60E-06
2009/3/13,0.000300861,7.15E-05,2.85E-05,6.60E-06
2009/3/16,0.000248164,5.96E-05,3.03E-05,1.00E-05
2009/3/17,0.000308916,7.17E-05,3.59E-05,1.55E-05
2009/3/18,0.000526558,7.75E-05,3.73E-05,8.71E-06
2009/3/19,0.000239497,3.43E-05,2.16E-05,6.14E-06
2009/3/20,0.000210927,5.21E-05,2.13E-05,4.02E-06
2009/3/23,0.000256116,4.09E-05,2.19E-05,1.31E-05
2009/3/24,0.000285688,6.88E-05,2.30E-05,8.44E-06
2009/3/25,0.000395246,7.89E-05,3.39E-05,1.97E-05
2009/3/26,0.00036864,7.54E-05,4.64E-05,1.75E-05
2009/3/27,0.000251757,6.29E-05,2.92E-05,1.28E-05
2009/3/30,0.000266913,8.29E-05,5.54E-05,1.63E-05
2009/3/31,0.000205791,5.52E-05,2.97E-05,1.35E-05
2009/4/1,0.000253757,5.53E-05,3.05E-05,1.09E-05
2009/4/2,0.000324641,7.30E-05,3.53E-05,1.83E-05
2009/4/3,0.00020412,5.20E-05,2.61E-05,1.27E-05
2009/4/6,0.00022809,5.19E-05,2.90E-05,8.86E-06
2009/4/7,0.000176904,3.76E-05,2.02E-05,3.37E-06
2009/4/8,0.000213927,4.35E-05,1.85E-05,8.80E-06
2009/4/9,0.000146103,3.60E-05,1.88E-05,4.41E-06
2009/4/13,0.00015363,3.14E-05,1.99E-05,4.38E-06
2009/4/14,0.000173873,2.95E-05,1.47E-05,7.61E-06
2009/4/15,0.000183623,4.11E-05,2.91E-05,1.13E-05
2009/4/16,0.00015885,4.54E-05,2.04E-05,3.79E-06
2009/4/17,0.000132108,2.71E-05,1.57E-05,3.92E-06
2009/4/20,0.000158957,4.67E-05,2.20E-05,1.32E-05
2009/4/21,0.000213288,5.67E-05,2.72E-05,3.43E-06
2009/4/22,0.000247675,7.43E-05,3.03E-05,1.93E-05
2009/4/23,0.000328688,7.47E-05,3.37E-05,1.43E-05
2009/4/24,0.000280302,3.84E-05,2.27E-05,8.58E-06
2009/4/27,0.000211722,5.56E-05,3.30E-05,1.11E-05
2009/4/28,0.000154745,3.14E-05,1.93E-05,1.21E-05
2009/4/29,0.000194849,3.60E-05,1.38E-05,5.43E-06
2009/4/30,0.000213905,5.88E-05,1.64E-05,5.75E-06
2009/5/1,0.000117877,2.78E-05,1.24E-05,2.61E-06
2009/5/4,0.000151056,3.37E-05,2.54E-05,1.26E-05
2009/5/5,0.000126774,3.54E-05,1.57E-05,7.88E-06
2009/5/6,0.000208305,4.06E-05,2.18E-05,3.81E-06
2009/5/7,0.000215721,5.08E-05,2.10E-05,7.77E-06
2009/5/8,0.000209575,6.27E-05,3.06E-05,1.58E-05
2009/5/11,0.000185408,3.84E-05,1.85E-05,8.26E-06
2009/5/12,0.000187172,4.56E-05,2.82E-05,5.77E-06
2009/5/13,0.000184112,4.99E-05,2.55E-05,8.76E-06
2009/5/14,0.000165901,3.16E-05,2.17E-05,1.36E-05
2009/5/15,0.000137453,3.35E-05,1.32E-05,3.09E-06
2009/5/18,0.000156324,3.34E-05,2.32E-05,5.35E-06
2009/5/19,0.000154614,2.93E-05,1.06E-05,2.96E-06
2009/5/20,0.000205186,4.47E-05,3.51E-05,1.47E-05
2009/5/21,0.000215021,4.89E-05,2.57E-05,1.55E-05
2009/5/22,0.000200252,4.25E-05,2.41E-05,1.01E-05
2009/5/26,0.000249895,9.32E-05,5.81E-05,5.15E-05
2009/5/27,0.000216053,4.08E-05,2.71E-05,1.13E-05
2009/5/28,0.000264533,5.89E-05,3.06E-05,8.32E-06
2009/5/29,0.000199519,5.41E-05,2.04E-05,5.85E-06
2009/6/1,0.000116083,2.97E-05,2.13E-05,1.58E-05
2009/6/2,0.000168831,7.27E-05,4.99E-05,4.14E-05
2009/6/3,0.000111868,2.74E-05,1.28E-05,4.57E-06
2009/6/4,0.000119947,3.30E-05,1.54E-05,3.93E-06
2009/6/5,0.000219986,4.49E-05,1.89E-05,5.95E-06
2009/6/8,0.000149152,3.48E-05,1.97E-05,1.10E-05
2009/6/9,0.000124447,2.81E-05,1.45E-05,8.01E-06
2009/6/10,0.000147209,3.37E-05,1.02E-05,4.43E-06
2009/6/11,0.000156955,2.78E-05,1.41E-05,6.90E-06
2009/6/12,0.000116894,4.34E-05,2.63E-05,1.28E-05
2009/6/15,0.000137862,2.91E-05,1.44E-05,8.60E-06
2009/6/16,0.000135102,2.66E-05,1.42E-05,4.11E-06
2009/6/17,0.000181656,2.82E-05,1.59E-05,3.58E-06
2009/6/18,0.000145936,1.82E-05,8.68E-06,1.37E-06
2009/6/19,8.00E-05,1.60E-05,4.77E-06,1.12E-06
2009/6/22,0.000127311,2.50E-05,8.55E-06,3.68E-06
2009/6/23,0.000151609,2.81E-05,1.54E-05,9.01E-06
2009/6/24,0.000157503,3.25E-05,1.51E-05,3.68E-06
2009/6/25,0.000141505,4.20E-05,2.58E-05,7.94E-06
2009/6/26,0.00010365,2.17E-05,7.88E-06,1.39E-06
2009/6/29,8.52E-05,1.33E-05,6.66E-06,2.11E-06
2009/6/30,8.86E-05,2.95E-05,2.11E-05,1.10E-05
2009/7/1,7.41E-05,2.03E-05,1.40E-05,9.68E-06
2009/7/2,9.43E-05,1.28E-05,4.77E-06,7.41E-07
2009/7/6,0.000106185,3.13E-05,1.78E-05,5.64E-06
2009/7/7,0.000104298,2.24E-05,1.50E-05,3.11E-06
2009/7/8,0.00015048,3.28E-05,1.24E-05,6.03E-06
2009/7/9,0.000153598,3.90E-05,2.35E-05,3.28E-06
2009/7/10,0.000153968,3.80E-05,1.69E-05,4.50E-06
2009/7/13,0.000142459,2.85E-05,1.64E-05,6.03E-06
2009/7/14,9.53E-05,1.68E-05,1.06E-05,4.15E-06
2009/7/15,6.59E-05,1.87E-05,1.18E-05,3.99E-06
2009/7/16,9.44E-05,2.44E-05,1.75E-05,7.98E-06
2009/7/17,7.54E-05,1.76E-05,1.08E-05,4.00E-06
2009/7/20,0.000104789,2.91E-05,1.93E-05,7.03E-06
2009/7/21,0.000103885,3.27E-05,1.89E-05,5.10E-06
2009/7/22,0.000108648,2.65E-05,1.74E-05,7.06E-06
2009/7/23,9.65E-05,2.25E-05,1.14E-05,6.00E-06
2009/7/24,0.000107282,2.84E-05,1.59E-05,6.46E-06
2009/7/27,0.000106897,4.04E-05,2.68E-05,1.27E-05
2009/7/28,0.000107604,3.41E-05,2.57E-05,1.86E-05
2009/7/29,0.000121179,3.01E-05,1.14E-05,4.57E-06
2009/7/30,0.000102372,2.95E-05,1.63E-05,3.05E-06
2009/7/31,0.000113275,2.88E-05,1.74E-05,6.09E-06
2009/8/3,0.000125379,3.06E-05,2.44E-05,1.73E-05
2009/8/4,6.66E-05,1.54E-05,1.11E-05,4.37E-06
2009/8/5,0.000102047,2.45E-05,1.19E-05,3.61E-06
2009/8/6,0.000104644,1.77E-05,7.32E-06,1.89E-06
2009/8/7,0.000100548,1.23E-05,5.72E-06,2.94E-06
2009/8/10,6.82E-05,1.24E-05,6.94E-06,3.77E-06
2009/8/11,7.26E-05,1.88E-05,1.30E-05,5.73E-06
2009/8/12,0.000134796,3.59E-05,1.54E-05,7.22E-06
2009/8/13,9.68E-05,2.02E-05,1.66E-05,2.35E-06
2009/8/14,0.000113139,5.29E-05,2.08E-05,1.85E-05
2009/8/17,9.08E-05,2.01E-05,9.33E-06,4.16E-06
2009/8/18,6.08E-05,1.20E-05,4.85E-06,1.52E-06
2009/8/19,0.000105912,3.15E-05,1.47E-05,4.91E-06
